mode,k,members,rank_corr,top_k_sharpe,top_k_cum,top_k_hit
raw,1,logistic_image_scale,0.03924851190476191,0.38500929176343807,0.6569180682499105,0.5902777777777778
raw,1,logistic_cumulative_scale,-0.007217261904761907,0.07643795194437607,-0.05122835965927475,0.5555555555555556
raw,1,cnn_1d_image_scale,-0.001004464285714283,0.07272599856082221,-0.04692768954985116,0.5486111111111112
raw,1,cnn_2d_rendered_images,0.002194940476190475,0.20192275551052374,0.22900550409906772,0.5694444444444444
raw,1,cnn_1d_attention_image_scale,0.023127480158730167,0.2681053526198874,0.39175317958670086,0.5902777777777778
raw,1,cnn_1d_cumulative_scale,0.027095734126984128,0.5214478524828869,0.9977374615768371,0.5902777777777778
raw,1,cnn_1d_dilated_image_scale,0.027963789682539684,0.35437782903443815,0.6661490312217502,0.5694444444444444
raw,1,cnn_1d_multiscale_image_scale,0.008692956349206344,0.24587455819518209,0.34244988462400405,0.5833333333333334
raw,1,cnn_2d_residual_images,0.007226267715429987,0.09561768049766343,0.01536367262259164,0.5486111111111112
raw,2,logistic_image_scale + logistic_cumulative_scale,0.02165178571428572,0.1558608064495073,0.13123069735860815,0.5625
raw,2,logistic_image_scale + cnn_1d_image_scale,0.030890376984126996,0.1676975040028514,0.16057004484385184,0.5625
raw,2,logistic_image_scale + cnn_2d_rendered_images,0.04011656746031747,0.3596680050817608,0.6860794559335246,0.5694444444444444
raw,2,logistic_image_scale + cnn_1d_attention_image_scale,0.03294890873015874,0.31107990129113444,0.5103194625864589,0.6111111111111112
raw,2,logistic_image_scale + cnn_1d_cumulative_scale,0.04335317460317462,0.49386063645412837,0.9575911724322708,0.5902777777777778
raw,2,logistic_image_scale + cnn_1d_dilated_image_scale,0.045585317460317465,0.3877068685897476,0.8002292613380289,0.5902777777777778
raw,2,logistic_image_scale + cnn_1d_multiscale_image_scale,0.033593750000000006,0.4246278908651294,0.7927582721562472,0.5833333333333334
raw,2,logistic_image_scale + cnn_2d_residual_images,0.03686755952380953,0.21494768806292916,0.2675614541482809,0.5694444444444444
raw,2,logistic_cumulative_scale + cnn_1d_image_scale,-0.009027777777777782,-0.0010105219257996048,-0.19032272665383743,0.5486111111111112
raw,2,logistic_cumulative_scale + cnn_2d_rendered_images,-0.016617063492063492,0.05213613303902888,-0.09472151314526611,0.5555555555555556
raw,2,logistic_cumulative_scale + cnn_1d_attention_image_scale,-0.0025545634920634986,0.20767140713837245,0.25788722857891466,0.5555555555555556
raw,2,logistic_cumulative_scale + cnn_1d_cumulative_scale,-0.0018229166666666617,0.06263443715808363,-0.07354936679309743,0.5277777777777778
raw,2,logistic_cumulative_scale + cnn_1d_dilated_image_scale,-0.014198908730158733,0.13871236968041237,0.09322480978069159,0.5625
raw,2,logistic_cumulative_scale + cnn_1d_multiscale_image_scale,-0.017770337301587297,0.04668701363495147,-0.09955510276246271,0.5416666666666666
raw,2,logistic_cumulative_scale + cnn_2d_residual_images,-0.009957837301587304,0.024918068215200546,-0.15191285637862106,0.5486111111111112
raw,2,cnn_1d_image_scale + cnn_2d_rendered_images,0.028844246031746037,0.25228629608681225,0.348848489252817,0.5972222222222222
raw,2,cnn_1d_image_scale + cnn_1d_attention_image_scale,0.017274305555555564,0.26808288944764114,0.39079149414574776,0.5625
raw,2,cnn_1d_image_scale + cnn_1d_cumulative_scale,0.021155753968253973,0.12207993236141165,0.043985423366248444,0.5555555555555556
raw,2,cnn_1d_image_scale + cnn_1d_dilated_image_scale,0.0216765873015873,0.2722202571576053,0.4118047311482673,0.5555555555555556
raw,2,cnn_1d_image_scale + cnn_1d_multiscale_image_scale,0.01619543650793651,0.23065222452118683,0.30049564954656915,0.5625
raw,2,cnn_1d_image_scale + cnn_2d_residual_images,0.024590773809523812,0.17416270450915564,0.175812694779107,0.5416666666666666
raw,2,cnn_2d_rendered_images + cnn_1d_attention_image_scale,0.01975446428571429,0.36348314785679325,0.6668925389444877,0.5902777777777778
raw,2,cnn_2d_rendered_images + cnn_1d_cumulative_scale,0.022867063492063494,0.23434374009125578,0.3074066649756071,0.5833333333333334
raw,2,cnn_2d_rendered_images + cnn_1d_dilated_image_scale,0.01872519841269842,0.26572277292865765,0.3922029674608378,0.5416666666666666
raw,2,cnn_2d_rendered_images + cnn_1d_multiscale_image_scale,0.026971726190476185,0.2556834937777385,0.36017162338092024,0.5833333333333334
raw,2,cnn_2d_rendered_images + cnn_2d_residual_images,0.017075892857142862,0.17365120049329497,0.16400513397227257,0.5694444444444444
raw,2,cnn_1d_attention_image_scale + cnn_1d_cumulative_scale,0.02764136904761906,0.23660807784834842,0.312897420938097,0.5694444444444444
raw,2,cnn_1d_attention_image_scale + cnn_1d_dilated_image_scale,0.02748015873015873,0.41267084500079637,0.8505679683013065,0.6111111111111112
raw,2,cnn_1d_attention_image_scale + cnn_1d_multiscale_image_scale,0.021825396825396828,0.35169709864895815,0.6404303757638867,0.5972222222222222
raw,2,cnn_1d_attention_image_scale + cnn_2d_residual_images,0.031200396825396833,0.17790130724841557,0.17268455870410881,0.5555555555555556
raw,2,cnn_1d_cumulative_scale + cnn_1d_dilated_image_scale,0.035875496031746036,0.3849671443298692,0.7722675357344597,0.5902777777777778
raw,2,cnn_1d_cumulative_scale + cnn_1d_multiscale_image_scale,0.021974206349206358,0.14495394183735094,0.09510103106688383,0.5833333333333334
raw,2,cnn_1d_cumulative_scale + cnn_2d_residual_images,0.02460317460317461,0.2385850219930635,0.32838420062059104,0.5347222222222222
raw,2,cnn_1d_dilated_image_scale + cnn_1d_multiscale_image_scale,0.021701388888888895,0.2441961862668584,0.3430148483875377,0.5486111111111112
raw,2,cnn_1d_dilated_image_scale + cnn_2d_residual_images,0.03426339285714286,0.19175592094340374,0.20788682248294377,0.5555555555555556
raw,2,cnn_1d_multiscale_image_scale + cnn_2d_residual_images,0.02538442460317461,0.19224638873294908,0.20247974693018866,0.5555555555555556
raw,3,logistic_image_scale + logistic_cumulative_scale + cnn_1d_image_scale,0.016406250000000004,0.19506971927255012,0.22885069831716698,0.5763888888888888
raw,3,logistic_image_scale + logistic_cumulative_scale + cnn_2d_rendered_images,0.016195436507936513,0.2065935277325893,0.2583811361089372,0.5486111111111112
